Time,Boom_Top_Rel,Boom_Bottom_Rel,Bucket_X,Bucket_Y,Bucket_Z
10.824,11.549999999988358,13743.850000000093,0,0,0
10.8666,11.549999999988358,13987.850000000093,2,-73,526
11.0418,-80.45000000001164,13987.850000000093,0,0,0
11.0418,-2.4500000000116415,13639.850000000093,0,0,0
11.0428,-2.4500000000116415,13639.850000000093,0,0,0
11.0711,124.54999999998836,9231.850000000093,0,0,0
11.2891,124.54999999998836,9231.850000000093,0,0,0
11.2891,80.54999999998836,-498.14999999990687,0,0,0
11.2902,80.54999999998836,-498.14999999990687,0,0,0
11.2902,267.54999999998836,-4846.149999999907,0,0,0
11.3225,508.54999999998836,-4631.149999999907,0,0,0
11.4876,508.54999999998836,-4631.149999999907,0,0,0
11.4876,426.54999999998836,-4457.149999999907,0,0,0
11.4886,426.54999999998836,-4457.149999999907,0,0,0
11.5267,416.54999999998836,-4886.149999999907,0,0,0
11.6776,417.54999999998836,-4886.149999999907,0,0,0
11.6787,417.54999999998836,-4510.149999999907,0,0,0
11.6871,464.54999999998836,-4510.149999999907,11,-60,511
11.7314,464.54999999998836,-4063.149999999907,11,-60,511
11.8742,445.54999999998836,-4063.149999999907,0,0,0
11.8742,459.54999999998836,-4546.149999999907,0,0,0
11.8911,459.54999999998836,-4860.149999999907,0,0,0
12.0889,470.54999999998836,-4860.149999999907,0,0,0
12.0901,470.54999999998836,-4764.149999999907,0,0,0
12.0901,429.54999999998836,-4764.149999999907,0,0,0
12.0901,429.54999999998836,-4525.149999999907,0,0,0
12.143,230.54999999998836,-4525.149999999907,0,0,0
12.3111,215.54999999998836,-4778.149999999907,0,0,0
12.3121,215.54999999998836,-4778.149999999907,0,0,0
12.3121,132.54999999998836,-5153.149999999907,0,0,0
12.3464,132.54999999998836,-5153.149999999907,0,0,0
12.5324,124.54999999998836,-5477.149999999907,0,0,0
12.5334,85.54999999998836,-5594.149999999907,0,0,0
12.5334,85.54999999998836,-5594.149999999907,0,0,0
12.5513,5.5499999999883585,-5751.149999999907,0,0,0
12.7405,5.5499999999883585,-5751.149999999907,0,0,0
12.7405,48.54999999998836,-5791.149999999907,0,0,0
12.7415,-9.450000000011642,-5791.149999999907,0,0,0
12.7558,-9.450000000011642,-5758.149999999907,0,0,0
12.9523,-64.45000000001164,-5758.149999999907,0,0,0
12.9523,-64.45000000001164,-5621.149999999907,0,0,0
12.9535,-112.45000000001164,-5621.149999999907,0,0,0
12.9614,-112.45000000001164,-5832.149999999907,0,0,0
13.17,-133.45000000001164,-5657.149999999907,0,0,0
13.171,-65.45000000001164,-5657.149999999907,0,0,0
13.171,-65.45000000001164,-5388.149999999907,0,0,0
13.171,167.54999999998836,-5388.149999999907,0,0,0
13.2256,167.54999999998836,-3366.149999999907,0,0,0
13.3975,-40.45000000001164,-3366.149999999907,0,0,0
13.3975,-174.45000000001164,-2071.149999999907,0,0,0
13.3985,-174.45000000001164,-2071.149999999907,0,0,0
13.4314,-168.45000000001164,-1882.1499999999069,0,0,0
13.6064,-168.45000000001164,-1882.1499999999069,0,0,0
13.6074,-126.45000000001164,-1928.1499999999069,0,0,0
13.6074,-112.45000000001164,-2035.1499999999069,0,0,0
